unit,na_item,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
CLV10_EUR_HAB,B1GQ,SI	13980 	14410 	14900 	15330 	15990 	16570 	17460 	18570 	19190 b	17570 	17750 	17870 	17360 	17160 	17620 	17990 	18550 	19440 	20240 	20770 	19740 	21310 	22450 
CLV10_EUR_HAB,B1GQ,SK	7780 	8060 	8430 	8890 	9360 	9970 	10800 	11960 	12610 	11890 	12660 	13080 	13230 	13300 	13640 	14340 	14590 	15000 	15580 	15950 	15400 	16210 	16300 
CLV10_EUR_HAB,B1GQ,TR	6130 	5700 	5990 	6260 	6790 	7310 	7720 	8010 	7980 	7490 	8000 	8760 	9070 	9710 	10050 	10520 	10730 	11380 	11560 	11490 	11600 	12800 	: 
CLV10_EUR_HAB,B1GQ,UK	27130 	27770 	28250 	29060 	29560 	30210 	30810 	31280 	30940 	29460 	29830 	29960 	30190 	30660 	31290 	31780 	32060 	32430 	32640 	32910 	: 	: 	: 
CLV_PCH_PRE_HAB,B1GQ,AL	7.7 	8.9 	4.9 	5.9 	6.0 	6.1 	6.6 	6.8 	8.3 d	4.1 d	4.2 	2.8 	1.6 	1.2 d	2.0 d	2.5 	3.5 	3.9 	4.3 	2.5 	-2.9 p	: 	: 
CLV_PCH_PRE_HAB,B1GQ,AT	3.1 	0.9 	1.2 	0.5 	2.1 	1.5 	2.9 	3.4 	1.1 	-4.0 	1.6 	2.6 	0.2 	-0.6 	-0.1 	0.0 	0.7 	1.6 	1.9 	1.1 	-6.9 	4.2 	3.7 
CLV_PCH_PRE_HAB,B1GQ,BE	3.5 	0.7 	1.3 	0.6 	3.1 	1.8 	1.9 	2.9 	-0.3 	-2.8 	1.9 	0.4 	0.1 	0.0 	1.1 	1.5 	0.8 	1.2 	1.3 	1.7 	-5.8 p	5.8 p	2.4 p
CLV_PCH_PRE_HAB,B1GQ,BG	5.1 	7.2 	6.5 	5.8 	7.1 	7.6 	7.4 	7.2 	6.6 	-2.9 	2.2 	4.7 	1.3 	0.0 	1.5 	4.1 	3.8 	3.5 	3.4 	4.8 	-3.4 	8.5 	4.2 p
CLV_PCH_PRE_HAB,B1GQ,CH	3.4 	1.1 	-0.8 	-0.8 	2.0 	2.1 	3.4 	3.0 	1.6 	-3.4 	2.5 	0.9 	0.1 	0.6 	1.1 	0.5 	1.0 	0.4 	2.1 	0.4 	-3.1 	3.4 	1.2 
CLV_PCH_PRE_HAB,B1GQ,CY	4.9 	2.8 	2.5 	1.4 	3.6 	3.4 	3.0 	2.9 	1.1 	-4.6 	-0.4 	-2.1 	-4.9 	-6.4 	-0.7 	4.0 	6.1 	4.8 	4.4 	4.1 	-5.4 	5.6 p	4.2 p
CLV_PCH_PRE_HAB,B1GQ,CZ	4.1 	3.5 	1.8 	3.6 	4.8 	6.3 	6.4 	5.0 	1.6 	-5.2 	2.2 	2.0 	-0.9 	-0.1 	2.1 	5.2 	2.3 	4.9 	2.9 	2.6 	-5.8 	3.6 	2.5 
CLV_PCH_PRE_HAB,B1GQ,DE	2.9 	1.6 	-0.3 	-0.7 	1.3 	0.9 	4.0 	3.2 	1.2 	-5.4 	4.4 	3.9 	0.2 	0.2 	1.8 	0.6 	1.4 	2.3 	0.7 	0.8 p	-3.8 p	2.6 p	1.1 p
CLV_PCH_PRE_HAB,B1GQ,DK	3.4 	0.5 	0.1 	0.1 	2.4 	2.0 	3.6 	0.5 	-1.1 	-5.4 	1.4 	0.9 	-0.1 	0.5 	1.1 	1.6 	2.4 	2.2 	1.5 	1.1 	-2.2 	4.4 	2.9 
CLV_PCH_PRE_HAB,B1GQ,EA19	3.5 	1.8 	0.4 	0.1 	1.7 	1.1 	2.8 	2.4 	-0.1 	-4.8 	1.9 	1.4 	-1.1 	-0.4 	1.2 	1.7 	1.5 	2.4 	1.5 	1.3 	-6.2 	5.3 	3.0 
CLV_PCH_PRE_HAB,B1GQ,EA20	3.5 	1.9 	0.4 	0.1 	1.8 	1.1 	2.8 	2.5 	-0.1 	-4.8 	1.9 	1.4 	-1.1 	-0.4 	1.2 	1.7 	1.6 	2.4 	1.5 	1.3 	-6.2 	5.4 	3.0 
CLV_PCH_PRE_HAB,B1GQ,EE	8.4 	6.7 	7.5 	8.2 	7.5 	10.1 	10.4 	8.2 	-4.8 	-14.5 	2.6 	7.6 	3.6 	1.8 	3.4 	2.0 	3.0 	5.8 	3.5 	3.3 	-0.9 	7.9 	-1.4 
CLV_PCH_PRE_HAB,B1GQ,EL	3.5 	3.6 	3.5 	5.5 	4.8 	0.3 	5.3 	3.0 	-0.6 	-4.6 	-5.6 b	-10.0 	-6.6 	-1.8 	1.1 	0.5 	-0.1 	1.3 	1.9 	2.0 	-8.8 p	9.0 p	6.5 p
CLV_PCH_PRE_HAB,B1GQ,ES	4.8 	3.4 	1.1 	1.1 	1.5 	1.7 	2.5 	1.6 	-0.8 	-4.6 	-0.3 	-1.2 	-3.0 	-1.0 	1.7 	3.9 	2.9 	2.8 	1.9 	1.2 	-11.8 p	5.6 p	4.8 p
CLV_PCH_PRE_HAB,B1GQ,EU27_2020	3.7 	2.0 	0.9 	0.5 	2.2 	1.5 	3.1 	2.8 	0.3 	-4.6 	2.0 	1.7 	-0.9 	-0.2 	1.5 	2.1 	1.7 	2.7 	1.9 	1.6 	-5.7 	5.5 	3.3 
CLV_PCH_PRE_HAB,B1GQ,EU28	3.6 	2.1 	1.0 	0.9 	2.1 	1.6 	3.0 	2.6 	0.1 	-4.6 	1.9 	1.6 	-0.6 	0.1 	1.6 	2.0 	1.6 	2.4 	1.7 	1.5 	: 	: 	: 
CLV_PCH_PRE_HAB,B1GQ,FI	5.6 	2.4 	1.5 	1.8 	3.7 	2.4 	3.6 	4.9 	0.3 	-8.5 	2.7 	2.1 	-1.9 	-1.4 	-0.8 	0.2 	2.5 	3.0 	1.0 	1.1 	-2.5 	2.8 	1.8 
CLV_PCH_PRE_HAB,B1GQ,FR	3.2 	1.2 	0.4 	0.1 	2.1 	0.9 	1.7 	1.8 	-0.3 	-3.4 	1.4 	1.7 	-0.2 	0.1 	0.5 	0.7 	0.7 	1.9 	1.4 	1.4 	-7.9 	6.1 p	2.1 p
CLV_PCH_PRE_HAB,B1GQ,HR	4.0 	7.1 b	5.7 	5.6 	4.1 	4.2 	4.9 	5.0 	2.0 	-7.1 	-1.0 	0.2 	-2.0 	-0.1 	0.0 	3.2 	4.4 	4.5 	3.8 	4.0 	-8.1 	15.6 p	7.6 e
CLV_PCH_PRE_HAB,B1GQ,HU	4.8 	4.3 	5.0 	4.4 	5.2 	4.5 	4.1 	0.4 	1.2 	-6.5 	1.3 	2.2 	-0.7 	2.1 	4.5 	4.0 	2.5 	4.5 	5.5 	4.9 	-4.3 	7.6 p	4.9 p
